id,startup_id,tipo,titulo,conteudo_texto,url_fonte,data_publicacao
doc-04-2,startup-04,noticia,"5 Minutos com: Mariana Vasconcelos, CEO, Agrosmart","Quando criança, Mariana Vasconcelos tinha o sonho de ser detetive e trabalhar no FBI. Natural de Itajubá (MG), cresceu em uma família de empreendedores e pequenos produtores rurais, próxima do campo e em contato direto com as dores do setor, principalmente em relação à falta de dados e tecnologia. Com apenas 16 anos, ela foi emancipada pelo pai para tocar a padaria da família, dividindo o seu tempo entre as demandas do negócio, a faculdade de administração e o sonho de empreender. Com 23, uniu-se a dois amigos de infância para criar a Agrosmart, plataforma de inteligência para o monitoramento das lavouras. Atualmente, a startup fornece tecnologia para cerca de 100 mil produtores em 48 milhões de hectares do agronegócio pelo país, e faz parte do programa de Corporate Venture Capital (CVC) da Positivo. A empresa foi fundada em 2014.",https://startups.com.br/5-minutos-com/5-minutos-com-mariana-vasconcelos-ceo-agrosmart/,2023-12-15
doc-04-3,startup-04,blog,Empreendedorismo tecnológico brasileiro aposta no agronegócio,"O mundo das startups vive de ciclos: depois dos sites de comércio eletrônico, da digitalização de serviços como táxi e entrega de comida e das fintechs, agora é a vez do campo. Com ajuda de tecnologias como sensores inteligentes, Big Data e imagens de satélite, startups apostam que o agronegócio é a próxima bola da vez do empreendedorismo tecnológico no Brasil. Segundo a Associação Brasileira de Startups (ABStartups), hoje há 72 empresas no País no setor – conhecido como agtech ou agritech. A área teve crescimento de 70% em relação ao ano passado e a previsão da associação é que esse número triplique até o final de 2017. ""O Brasil é uma potência do agronegócio. Hoje, o agricultor é um cara high tech, mas ainda carente da inovação das startups"", diz Maikon Schiessl, que coordena o comitê de Agtech da ABStartups. Uma das empresas é a Agrosmart, que quer usar a tecnologia para melhorar a eficiência de irrigações – a promessa é economizar até 60% da água utilizada hoje. Para isso, a empresa usa sensores inteligentes no meio das plantações, metereologia e imagens de satélite.",https://agrosmart.com.br/blog/empreendedorismo-tecnologico-brasileiro-agronegocio/,2016-11-22
doc-05-1,startup-05,site institucional,Justos - Seguro auto digital que recompensa bons motoristas,"O seguro auto Justos é digital, tem coberturas personalizadas, assistência 24h e o melhor de tudo: recompensa bons motoristas. Seguro auto, digital, completo e com recompensas semanais. Não usou celular dirigindo, freiou ou acelerou bruscamente? Ganhe até 30% de desconto na mensalidade, vouchers de gasolina, manutenção pro seu carro e Uber. A Justos é um seguro pensado pra você usar mesmo quando nada acontecer. Aqui você usa seu seguro auto todos os dias. Diga olá pra saber onde seu guincho está. Agora é possível acompanhar seu guincho pelo nosso app, como você faz com seu delivery. Na Justos você está no controle. Saiba o status do seus sinistros pelo app de forma totalmente transparente. Para abrir o sinistro é só mandar um áudio no app. Uma cobertura que vai aonde você quer chegar. A Justos está presente em todo o Brasil. Sem segurês e sem esperar. A gente te atende pelo nome, 24h/7. Justos Seguros S.A., código SUSEP 02241. Avenida Andromeda 723, sala 0214, Barueri, São Paulo, CEP 06473-900.",https://www.justos.com.br/,nao encontrado
doc-05-2,startup-05,noticia,"Com IA no ""core"", Justos levanta R$ 92M para expandir","A Justos levantou uma rodada de R$ 92 milhões liderada pela Ribbit Capital, com participação de Kaszek, Endeavor Catalyst e Scale-Up Ventures, depois de uma série A de cerca de R$ 200 milhões que contou com o SoftBank. A insurtech de seguro auto digital, que recompensa motoristas conscientes, tem hoje cerca de 90 funcionários e acaba de obter a licença S3 da Susep, o que permite operar produtos diretamente em vez de depender apenas de parceiros seguradores. ""Não queremos ser uma seguradora com IA, e sim uma empresa de IA que vende seguros"", afirma o CEO Dhaval Chadha. A companhia migra do modelo de venda digital direta para uma distribuição com foco em corretores. A empresa tem hoje dezenas de milhares de apólices e a meta de chegar a 1 milhão de apólices em quatro a cinco anos, além da ambição de figurar entre as dez maiores seguradoras do Brasil. A sinistralidade, hoje em 65%, tem meta de 60% para 2025.",https://startups.com.br/negocios/rodada-de-investimento/com-ia-no-core-justos-levanta-r-92m-para-expandir/,2025-06-18
doc-05-3,startup-05,noticia,Justos: Recompensas para motoristas conscientes com IA e tecnologia avançada,"A Justos é uma empresa de seguro auto que usa inteligência artificial, tecnologia e design para oferecer um serviço prático que recompensa motoristas conscientes. A Justos está presente em todo o território brasileiro e tem licença da Superintendência de Seguros Privados (SUSEP) para operar no ambiente de sandbox. O programa de recompensas da Justos usa tecnologia de telemetria ativada nos sensores presentes no telefone celular dos clientes para avaliar como o motorista está dirigindo. Quem dirige bem ganha pontos que podem ser trocados por vouchers de Ifood e Uber, além de pontos Livelo e Abastece-aí. Para isso, o sistema avalia cinco parâmetros de comportamento: aceleração, velocidade, curvas, frenagem e direção focada, que é quando o motorista não mexe no celular enquanto dirige. Dirigindo de forma segura, os clientes podem acumular até 700 pontos em um único dia. Além disso, a plataforma também disponibiliza desafios que valem pontos extras, como fazer uma viagem perfeita que equivale a 500 pontos. A empresa foi fundada em março de 2020.",https://www.insurtech.com.br/guia/justos-recompensas-para-motoristas-conscientes-com-ia-e-tecnologia-avancada/,2024-06-28
doc-06-1,startup-06,site institucional,Cortex Intelligence: AI & Data for Business Growth,"Cortex is a specialist in Augmented Intelligence for Go-to-Market strategies. We combine AI and data to simplify decision-making and accelerate growth. Made for humans, powered by AI. Augmented intelligence to accelerate your growth. The most complete Go-to-Market intelligence platform, combining data, artificial intelligence and the market's leading experts. From Industry to Retail, from B2B to B2C. Ask for a demo. Augmented intelligence applied to GTM for. The leading companies are with Cortex. Our Go-to-Market Intelligence platform. Our flexible platform allows Cortex to solve different data challenges in Latin America. Data capture and structuring. Our technology captures and processes data from public and private sources. Intelligence applied to the business. We apply machine learning models connected to your company's data. Autonomy for your team. Your team builds analyses and dashboards autonomously. Decisions with greater impact. All with the flexibility of the solution and the support of our specialists. Discover GTM Intelligence. Through our GTM intelligence SaaS platform, which combines big data analytics, georeferencing, and advanced AI models. Cortex Growth. GTM Solution for B2B that uses AI to transform data into practical and actionable insights. Cortex Geofusion. Solution for retailers that combines data and AI to guide their expansion. Cortex Brand. Brand Operations solution with more than 70 indicators for reputation management. Cortex Reach. Increase sales efficiency with precise physical locations and product portfolio.",https://www.cortex-intelligence.com/en/,nao encontrado
doc-06-2,startup-06,noticia,"Após aporte de R$ 260 milhões, Cortex adquire Geofusion e amplia modelo de inteligência de dados","A Cortex acaba de adquirir a Geofusion, empresa que atua no segmento de geomarketing. O anúncio acontece pouco menos de um mês após a startup receber uma nova rodada de investimentos, uma série C no valor de R$ 260 milhões, liderada pela Lightrock e que contou com a participação do SoftBank Latin America Funds e Riverwood Capital. O acordo inclui a compra da todas as ações da empresa de geomarketing, com quem a startup se relaciona desde 2015, já fez parcerias e vinha mantendo conversas há um ano. Com o mercado mais escasso de funding e as incertezas ao longo de 2022, o namoro chegou a ficar em banho-maria. A entrada do novo capital deu novo impulso à negociação e o negócio foi fechado. Essa é a segunda aquisição da Cortex em pouco mais de um ano. Em fevereiro de 2021, informou com exclusividade à EXAME a compra de ITB360, especializada na coleta de dados sobre outras companhias a partir de bancos públicos de informação. Com a operação, a Cortex passa a somar cerca de 500 funcionários, sendo 150 vindos da Geofusion, e atende clientes como McDonald's, Natura, Heineken e Cacau Show.",https://exame.com/negocios/apos-aporte-de-r-260-milhoes-cortex-adquire-geofusion-e-amplia-modelo-de-inteligencia-de-dados/,nao encontrado
doc-06-3,startup-06,blog,Geofusion é adquirida pela Cortex e juntas se consolidam como a maior empresa em Inteligência de Dados da América Latina,"A Geofusion, referência brasileira em inteligência geográfica com mais de 25 anos de mercado, foi adquirida pela Cortex, consolidando as duas empresas como a maior companhia de inteligência de dados para marketing e vendas da América Latina. ""A Geofusion possui um time altamente diferenciado e fundadores de topo de linha. É uma adição fantástica ao nosso time"", afirma Leonardo Rangel, cofundador da Cortex. Juntas, as empresas passam a atender mais de 650 clientes, entre eles McDonald's, Cacau Show, Whirlpool, Santander, Microsoft, Claro e BTG. A Cortex havia acabado de captar R$ 260 milhões em uma rodada série C liderada pela Lightrock, descrita como o maior investimento do setor de inteligência de dados na América Latina. A fusão une companhias com valores alinhados, com ênfase em uma abordagem centrada no humano e no foco no cliente. A integração pretende potencializar a plataforma de inteligência geográfica da Geofusion com as capacidades de IA e dados da Cortex para melhorar previsões de vendas e análises de mercado.",https://www.cortex-intelligence.com/blog/geomarketing/geofusion-cortex,2022-10-26
doc-07-1,startup-07,vaga,Banco de Talentos - Arvo,"Banco de Talentos - Arvo. Temos o proposito de tornar a saude no Brasil mais acessivel para todos. Nossa jornada comeca com o uso de dados e inteligencia artificial para reduzir fraudes, abusos e desperdicios em pagamentos de saude. Acreditamos que a unica maneira de alcancar isso e atraves de um time incrivel, com pessoas apaixonadas por saude e compradas na nossa missao de transformar o setor. Nossos principios culturais: ""Nos vivemos na Arena"", valorizando quem tenta, erra e volta com coragem; ""Mentalidade Insurgente"", questionando o status quo de uma industria burocratica; ""Somos Self-Propelled"", tomando iniciativa e indo ate o fim dos problemas; ""Geramos valor para o cliente, para o time e para nos, nessa ordem""; ""Nao negociamos qualidade"", com padrao zero defect; ""Jogamos a real"", com transparencia radical. Areas de interesse: Engenharia (Dados, Software, IA); Produto e Design; Auditoria Clinica; Vendas e Customer Success. Beneficios: Plano de Saude Bradesco Saude Nacional II (TNMI); VA/VR: R$1.080 no Flash; Acesso ao wellhub (gympass); Vaga remota. Localizacao: Rio de Janeiro. Ja esta trabalhando em Arvo? Vamos encontrar juntos o seu proximo colega de equipe.",https://arvo.teamtailor.com/jobs/7416961-banco-de-talentos,nao encontrado
doc-07-2,startup-07,noticia,"Como essa startup encontrou R$ 1,8 bilhao em fraudes e erros nos planos de saude","Uma cirurgia simples pode esconder cobrancas inesperadas. Em um procedimento de apendicite, por exemplo, pode aparecer na conta hospitalar uma manta termica, item usado para manter a temperatura do paciente em cirurgias longas, e que, naquele caso especifico, simplesmente nao era necessario. E esse tipo de inconsistencia que a Arvo, startup brasileira de tecnologia em saude, tenta identificar antes que o pagamento seja feito. A empresa desenvolveu uma plataforma de auditoria de contas medicas baseada em inteligencia artificial que analisa cobrancas feitas por hospitais, clinicas e laboratorios as operadoras de planos de saude. O objetivo e detectar erros, abusos ou fraudes nas faturas medicas antes que o dinheiro saia do caixa das operadoras. Os resultados mais recentes mostram o tamanho do problema. Em 2025, a tecnologia da Arvo identificou 1,8 bilhao de reais em pagamentos indevidos no sistema de saude suplementar. Desde 2022, a empresa ja analisou 160 bilhoes de reais em despesas medicas. ""O setor carrega um volume relevante de gastos que nao precisariam existir. Estimativas apontam que cerca de 16% das despesas de saude sao indevidas, seja por erro, abuso ou fraude"", afirma Fabricio Valadao, CEO e cofundador da Arvo. O sistema de saude suplementar brasileiro movimenta cerca de 270 bilhoes de reais por ano em despesas assistenciais. O setor atende 51 milhoes de pessoas e convive com um desafio crescente: o aumento constante dos custos medicos.",https://exame.com/negocios/como-essa-startup-encontrou-r-18-bilhao-em-fraudes-e-erros-nos-planos-de-saude/,2026-03-12
doc-07-3,startup-07,noticia,Arvo capta R$ 106 milhoes em serie A,"A Arvo, empresa de Inteligencia Artificial e integracao de dados para o processo de pagamentos em saude, levantou R$106 milhoes em uma rodada de investimento Serie A, liderada pelos fundos Kaszek e Base10 Partners, com participacao de Canary e K50 Ventures. Essa e a maior captacao do setor de saude no Brasil nesse estagio. A rodada acontece 1 ano apos a rodada seed da startup com a Canary. A captacao permitira que a startup expanda a atuacao e consolide a infraestrutura de processamento das transacoes de saude, que vao desde validacao de cobrancas ate a autorizacao de procedimentos. Os recursos tambem serao utilizados para o desenvolvimento de novos produtos e oportunidades estrategicas, para aumentar o grau de precisao nas analises. Alem disso, a equipe sera ampliada, com reforco especial nas areas de ciencia de dados e engenharia. Com a missao de trazer mais seguranca e eficiencia para transacoes de saude, a healthtech utiliza IA e Machine Learning para identificar nao-conformidades e realizar a validacao de documentos comprobatorios de forma automatica. Fundada em 2022, a Arvo cresce em ritmo acelerado, tendo quadruplicado seu faturamento e base de clientes nos ultimos 12 meses. As inteligencias da healthtech promovem um aumento medio de 25% na produtividade das areas de auditoria e contas medicas, em apenas 6 meses de operacao.",https://startupi.com.br/arvo-capta-106-milhoes-em-serie-a/,2025-09-17
doc-08-1,startup-08,noticia,ISA Saude capta R$ 160 milhoes para ser o maior hospital em casa do Brasil,"A ISA Saude, healthtech fundada pelos irmaos Fernando e David Pares em 2019, acaba de captar R$ 160 milhoes em uma rodada Serie B liderada pela International Finance Corporation (IFC), braco de investimento do Grupo Banco Mundial. A rodada tambem contou com os fundos IDB Lab, Dalus Capital e Endeavor Catalyst, alem da participacao de investidores atuais. Com o novo aporte, a startup pretende triplicar o numero de cidades atendidas, fortalecer a operacao B2B junto a grandes operadoras de saude e ampliar suas linhas de cuidado domiciliar. O investimento tambem sera direcionado a estruturacao de dados clinicos e uso de inteligencia artificial, com foco em analises preditivas e personalizacao da jornada do paciente. ""Criamos a empresa com o proposito de levar mais seguranca e autonomia aos pacientes, permitindo que recebam em casa tratamentos complexos que antes so eram possiveis em ambiente hospitalar"", afirma Fernando Pares, CEO da ISA Saude. ""Com esse novo investimento, vamos ampliar nossa operacao e acelerar o acesso a tecnologias que beneficiam pacientes, familiares e profissionais de saude."" A ISA Saude atua em mais de 60 cidades distribuidas por Sao Paulo, Distrito Federal, Minas Gerais e Bahia, realizando cerca de 1.500 atendimentos diarios com uma rede de 4 mil profissionais e parcerias com 25 operadoras de saude.",https://startupi.com.br/isa-saude-capta-r-160-milhoes-hospital-em-casa/,2025-10-28
doc-08-2,startup-08,noticia,Esta empresa quer ser o maior hospital do pais - sem ter um unico leito,"A healthtech ISA Saude acaba de levantar R$ 160 milhoes em uma rodada serie B liderada pela International Finance Corporation (IFC), braco de investimentos do Banco Mundial focado no setor privado. O novo aporte marca a entrada da instituicao global na sociedade da companhia brasileira, e deve acelerar a estrategia da startup para consolidar seu modelo de ""hospital em casa"". Criada em 2019 pelos irmaos paulistas Fernando e David Pares, a ISA opera uma estrutura de cuidado domiciliar que atende pacientes com alta complexidade clinica, mas fora do ambiente hospitalar. A empresa ja realiza cerca de 1.500 atendimentos diarios em mais de 60 cidades, com uma rede de 4 mil profissionais e parceria com 25 operadoras de planos de saude. A taxa de reinternacao dos pacientes atendidos pela companhia e inferior a 2%, e o modelo permite reduzir de forma relevante o custo assistencial das operadoras, ao substituir dias de internacao hospitalar por cuidado no domicilio do paciente, com acompanhamento clinico continuo e suporte de tecnologia.",https://exame.com/negocios/esta-empresa-quer-ser-o-maior-hospital-do-pais-sem-ter-um-unico-leito/,2025-10-28
doc-08-3,startup-08,noticia,The Future of Care is at Home: How ISA Saude Is Redefining Healthcare in Brazil,"In Brazil, the relationship between insurers and providers has traditionally been quite difficult. Most of the market still operates on a fee-for-service model, which creates misaligned incentives. Providers focus on volume, while insurers struggle with rising claims and shrinking margins. It's a system that drives costs up without necessarily improving outcomes. At ISA Saude, we're changing that dynamic by bringing care home. Our model decentralizes healthcare, allowing patients, especially elderly ones, to receive hospital-level care in the comfort of their homes. This not only improves clinical outcomes and patient satisfaction but also cuts insurer costs by up to 70 percent in certain treatments, with an average reduction of around 45 percent. Bringing healthcare into someone's home changes everything. When our teams walk through a patient's door, they're guests first and clinicians second, so empathy, respect, and adaptability are key. Every professional goes through a rigorous 38-day onboarding that includes technical, operational, and behavioral training. Once in the field, their work is continuously monitored through our digital platform, which tracks every step of care - from medication management to protocol adherence. We like to think of ISA as a hospital with 700 beds spread across Brazil. Technology is what connects it all, allowing our clinical and quality teams to supervise care in real time.",https://www.ifc.org/en/interviews/2025/the-future-of-care-is-at-home,2025-11-14
doc-09-1,startup-09,site institucional,"Portal Telemedicina: O que e, Como Funciona e Beneficios da Solucao","A desigualdade na distribuicao de medicos pelo Brasil, que faz com que parte da populacao nao tenha acesso a especialistas, foi o grande impulsionador para a criacao da solucao Portal Telemedicina. Fundada em 2013, a empresa iniciou como uma startup criada com a ambicao de seus cofundadores de garantir acesso universal a saude por meio da tecnologia. Com a ajuda de parceiros, como o Google, a empresa esta presente em 300 cidades do Brasil e da Africa e no caminho para a expansao global necessaria para sua visao: levar saude a mais de um bilhao de pessoas que nao tem acesso a medicos especialistas. Isso e feito por meio de uma solucao completa e inovadora capaz de conectar ate mesmo equipamentos offline e em regioes remotas a uma central composta por especialistas de todas as areas, todos eles formados nas instituicoes de maior reconhecimento no pais, disponiveis 24 horas por dia. O servico da Portal reduz o tempo para emissao de laudos de semanas, pelo sistema convencional, para minutos nos casos de urgencia e 24 horas nos demais. Tudo isso a um custo operacional ate 10 vezes menor. A inteligencia artificial da plataforma da Portal Telemedicina contribui para um laudo preciso, ja que todos os dados sao transmitidos direto entre os proprios equipamentos, sem chance para erros de digitacao ou de informacao no processo de envio. Alem disso, o sistema de inteligencia artificial ajuda na triagem dos exames, colocando o que e urgente como prioridade.",https://portaltelemedicina.com.br/portal-telemedicina-o-que-e-como-funciona-e-beneficios-da-solucao,2019-10-10
doc-09-2,startup-09,site institucional,Laudos a distancia Rapidos e Seguros - Portal Telemedicina,"OFERECA MAIS AGILIDADE COM LAUDOS A DISTANCIA. Reduza custos e otimize os processos de sua clinica com a tecnologia mais avancada do mercado. Em casos urgentes, laudos sao entregues em ate 5 minutos. ALTA TECNOLOGIA A SERVICO DA VIDA. Receba laudos medicos em ate 24h assinados por especialistas renomados. Nossa plataforma usa Inteligencia Artificial para triagem de exames urgentes. Atendemos em todo o Brasil. COMO FUNCIONA A TELEMEDICINA PARA LAUDOS: a clinica ou Hospital realiza o exame do paciente no local. Atraves da nossa integracao, os exames sao criptografados e enviados direto do equipamento para o nosso Portal, seguindo as normas de seguranca HIPAA e GDPR. Nossos medicos especialistas de centros referencia do Brasil recebem os exames, analisam, e liberam os laudos em ate 24 horas. Em casos de emergencia, em poucos minutos. Nossos clientes acessam o sistema com login e senha para visualizar e imprimir os laudos. VANTAGENS: acesso a medicos especialistas renomados disponiveis 24/7; armazenamento seguro, seguindo as leis da Anvisa e os parametros da Hipaa (EUA) e GDPR (Europa); agilidade na emissao de laudos a partir de uma exclusiva integracao direta com equipamentos medicos; integracao com 90% dos equipamentos existentes, sem necessidade de investimentos adicionais; laudo personalizado; otimizacao de equipes. ESPECIALIDADES ATENDIDAS: acuidade visual, eletrocardiograma, eletroencefalograma, espirometria, raios-X, mamografia, tomografia, ressonancia magnetica, MAPA, Holter, teste ergometrico.",https://portaltelemedicina.com.br/solucoes-de-telemedicina/laudos,nao encontrado
