id,nome,site,setor,setor_detalhado,estagio,localizacao,descricao_curta,ano_fundacao,tamanho_time
startup-16,Hand Talk,https://www.handtalk.me,acessibilidade,Acessibilidade digital / traducao automatica para Libras,adquirida (comprada pela Sorenson em janeiro de 2025),Maceio-AL,"Desenvolve tradutores virtuais com avatares 3D (Hugo e Maya) que traduzem textos e audios para Libras e para a Lingua de Sinais Americana, por meio do Hand Talk App e do Hand Talk Plugin de acessibilidade para sites.",2012,100 funcionarios
startup-17,Cobli,https://www.cobli.co/,logtech,"Logistica, telemetria e gestao de frotas",serie B (rodada de R$ 175 milhoes liderada pelo SoftBank em 2021; 2a rodada de investimento),Sao Paulo-SP,"Plataforma de rastreamento, telemetria e videotelemetria para frotas que transforma dados dos veiculos em indicadores de custo, produtividade e seguranca. Usa inteligencia artificial para identificar automaticamente fadiga, distracao e direcao perigosa.",2015,"400 colaboradores (400 Coblers, segundo o site oficial)"
startup-18,Logcomex,https://www.logcomex.com/,logtech,Comercio exterior e inteligencia de dados,"growth (US$ 33 milhoes em rodada de crescimento liderada pela Riverwood Capital, 2023; antes serie A de US$ 10,3 milhoes em 2021)",Curitiba-PR,"Plataforma SaaS que reune big data, tracking e automacao para dar previsibilidade a cadeia de comercio exterior, coletando e analisando informacoes em tempo real. Hoje opera agentes de IA para analise de mercado, rastreio de cargas e classificacao de NCM.",2016,mais de 300 colaboradores (janeiro de 2023)
startup-19,Looqbox,https://looqbox.com/,retailtech,"Varejo, analise de dados e BI conversacional","aporte de R$ 15 milhoes em 2022 liderado pela DGF Investimentos, com HiPartners e Locaweb (serie nao especificada nas fontes)",Sao Paulo-SP,"Plataforma que permite consultar dados corporativos em linguagem natural, entregando insights para a linha de frente do varejo sem exigir conhecimento tecnico. Lancou em 2025 o produto Agente de Dados, baseado em IA.",2013,nao encontrado
startup-20,Semantix,https://www.semantix.ai/,dados e IA,Plataforma de dados e inteligencia artificial,listada (IPO na Nasdaq em 2022; dois anos depois a empresa saiu do pregao americano e passou a ser negociada em mercado OTC),Sao Paulo-SP,"Deep tech brasileira de Big Data, Analytics e IA que desenha, constroi e opera ambientes empresariais em escala. Sua Semantix Intelligent Platform reune suite de IA proprietaria, engenharia de dados e operacoes criticas 24x7.",2010,nao encontrado
startup-21,Aquarela Advanced Analytics,https://aquare.la/,dados e IA,Inteligencia artificial industrial e analytics,nao encontrado,Florianopolis-SC,"Empresa catarinense de IA e analytics que aplica sua metodologia proprietaria de Cultura de Dados (DCM) e a Aquarela Data Platform para otimizar receita, processos e maturidade analitica de grandes industrias e corporacoes.",2012,nao encontrado
startup-22,Contabilizei,https://www.contabilizei.com.br,contabilidade,Contabilidade digital / SaaS B2B para micro e pequenas empresas,"growth (private; aporte de R$ 700 milhoes do Warburg Pincus em 2024, apos SoftBank e Goldman Sachs em 2021)",Curitiba-PR,"Escritorio de contabilidade online que faz abertura de empresas e cuida da contabilidade, impostos e obrigacoes fiscais de micro e pequenos empreendedores. Opera por plataforma online com automacao de processos contabeis, integracao bancaria e fiscal, dashboards em tempo real e atendimento com inteligencia artificial.",2013,mais de 1.200 pessoas
startup-23,Olist,https://olist.com,ecommerce,"E-commerce / SaaS de gestao para varejo (ERP, marketplaces, logistica e pagamentos)","growth (unicornio; avaliacao de US$ 1,2 bilhao em 2021, mais de US$ 300 milhoes captados com SoftBank e Goldman Sachs)",Curitiba-PR,"Ecossistema de solucoes de e-commerce que conecta lojistas aos principais marketplaces e permite criar loja virtual propria. Reune ERP, PDV, mais de 170 integracoes, logistica (Envios da Olist), meios de pagamento e credito, com uma camada de IA chamada Lis.",2015,cerca de 700 colaboradores
startup-24,Nuvemshop,https://www.nuvemshop.com.br,ecommerce,SaaS de e-commerce / plataforma de lojas virtuais,"growth (unicornio; rodada de US$ 500 milhoes em 2021 a um valuation de cerca de US$ 3,1 bilhoes)","Sao Paulo-SP (fundada em Buenos Aires, Argentina)","Plataforma SaaS de criacao e hospedagem de lojas virtuais para pequenos e medios empreendedores, com ecossistema nativo de loja, pagamentos (Nuvem Pago), logistica, marketing e IA. Opera em Brasil, Argentina, Mexico, Chile e Colombia.",2011,nao encontrado
startup-25,Meliuz,https://www.meliuz.com.br,fintech,"Cashback, cupons de desconto e servicos financeiros digitais","listada em bolsa (B3, ticker CASH3; IPO em novembro de 2020)",Belo Horizonte-MG (sede societaria informada no site: Sao Bernardo do Campo-SP),Plataforma de cupons de desconto e cashback que devolve ao consumidor parte do valor gasto em compras online em centenas de lojas parceiras. Tambem oferece servicos financeiros e mantem tesouraria com reserva em bitcoin.,2011,nao encontrado
startup-26,Zenvia,https://www.zenvia.com,CX e atendimento,CPaaS / plataforma de comunicacao e experiencia do cliente (CX),"listada em bolsa (Nasdaq, ticker ZENV; IPO em julho de 2021)",Porto Alegre-RS,"Empresa de tecnologia focada em Customer Experience que oferece comunicacao multicanal entre empresas e consumidores (WhatsApp, SMS, e-mail, Instagram, webchat) e a solucao unificada Zenvia Customer Cloud, com agentes de IA para atracao, vendas, atendimento e pos-venda.",2003,nao encontrado
startup-27,Buser,https://www.buser.com.br,mobilidade,Transporte rodoviario de passageiros / mobilidade (fretamento colaborativo),nao encontrado,Sao Jose dos Campos-SP,"Plataforma que conecta pessoas que querem viajar para o mesmo destino com empresas de fretamento executivo, permitindo o rateio do custo do onibus. Nao possui frota propria e atua como intermediadora entre passageiros e viacoes parceiras.",2017,"250 funcionarios (Projeto Draft, 2021)"
startup-28,QuintoAndar,https://www.quintoandar.com.br,proptech,Proptech / mercado imobiliario (aluguel e venda de imoveis),Unicornio (capitalizacao ultrapassou US$ 1 bilhao em setembro de 2019),Sao Paulo-SP,"Plataforma de aluguel e compra de imoveis com agendamento de visitas online, contrato digital e locacao sem fiador nem deposito caucao. Tambem oferece assessoria de financiamento e consorcio imobiliario.",2013,1.080 funcionarios em dezembro de 2019 (Exame)
startup-29,Hotmart,https://hotmart.com,edtech,"Plataforma de produtos digitais / creator economy (cursos, e-books, mentorias)",Unicornio de atuacao global,Belo Horizonte-MG,"Plataforma para criar, vender e escalar produtos digitais como cursos online, e-books e mentorias, com checkout, protecao contra fraudes e programa de afiliados. Declara mais de 250 mil negocios criados e mais de R$ 50 bilhoes faturados por produtores.",2011,nao encontrado
startup-30,Loggi,https://www.loggi.com,logtech,Logistica e entregas / e-commerce,Unicornio,Sao Paulo-SP,"Empresa de logistica que faz coleta, triagem e entrega de encomendas para pessoas e negocios em todo o Brasil, com malha propria de agencias e entregadores parceiros. Declara cobertura nacional e cerca de 1 milhao de pacotes processados por dia.",2013,"cerca de 3.600 pessoas em 2022, com cortes de quadro em 2022, 2023 e 2025 (Bloomberg Linea e Jornal de Brasilia)"
startup-31,Cuponeria,https://www.cuponeria.com.br,retailtech,Cupons de desconto e cashback / midia de performance para varejo,nao encontrado,Rio de Janeiro-RJ,"Plataforma de cupons de desconto gratuitos e cashback para compras em lojas online e fisicas, com mais de 2 mil marcas parceiras. Declara mais de 7 milhoes de membros e cerca de 1 milhao de cupons distribuidos por mes.",2011 (fontes divergem: Empreendedor indica outubro de 2011 e Projeto Draft indica 2012),nao encontrado
